S;E;DI;C;D;P1;P2;P3;P4;P5;P6;P7;P8;VG
h;52;2;NO;1;3;4;4;4;4;2;1;SI;7
h;78;4;NO;2;2;3;3;4;4;5;4;SI;8
h;34;3;NO;3;2;2;4;4;4;1;2;NO;6
h;45;6;SI;4;4;3;3;3;3;4;4;SI;6
h;47;8;SI;1;5;5;2;2;2;3;3;SI;5
h;59;2;NO;4;4;3;3;3;3;3;2;NO;6
h;67;2;SI;4;4;4;4;4;4;5;4;NO;8
h;32;3;SI;3;3;2;2;2;3;2;1;NO;4
h;56;34;SI;2;5;5;5;5;5;2;2;SI;9
h;78;45;SI;1;5;4;1;2;2;5;4;SI;6
m;43;3;NO;3;2;2;2;3;2;3;4;NO;4
m;42;4;NO;1;2;2;2;2;2;2;2;NO;4
m;38;5;SI;1;4;5;5;5;5;5;4;SI;10
m;75;5;NO;2;3;3;3;4;4;3;2;SI;7
m;27;2;NO;4;3;3;3;3;3;4;3;SI;6
m;34;8;SI;2;5;4;1;1;2;5;4;SI;5
m;32;23;SI;1;5;4;1;2;2;1;2;SI;4
m;43;2;NO;3;3;4;4;3;3;3;4;SI;7
m;45;2;SI;4;2;2;4;4;4;2;2;SI;6
m;55;5;NO;2;2;2;4;5;5;4;3;NO;8
h;59;2;NO;2;4;3;4;3;3;3;2;NO;6
h;67;2;SI;4;4;4;5;4;4;5;4;NO;8
h;32;3;SI;3;3;2;2;3;3;2;1;NO;4
h;56;34;SI;1;5;5;5;4;5;2;2;SI;9
h;78;45;SI;2;5;4;1;1;2;5;4;SI;6
m;43;3;NO;3;2;2;2;3;4;4;4;NO;6
m;42;4;NO;2;2;2;2;2;2;2;2;NO;4
m;38;5;SI;2;4;5;5;5;5;5;4;SI;9
m;77;5;NO;2;3;3;3;4;4;4;2;SI;7
m;29;2;NO;4;3;3;3;3;3;4;3;SI;6
m;36;8;SI;2;5;4;1;1;2;4;4;SI;5
m;64;23;SI;1;5;4;1;2;2;2;2;SI;4
m;29;2;NO;4;3;3;3;3;3;4;3;SI;6
m;36;8;SI;2;5;4;1;1;2;5;4;SI;5
m;71;21;SI;1;5;4;1;2;2;1;2;SI;6
m;45;2;NO;3;3;4;4;3;3;3;4;SI;6
m;47;4;NO;4;2;2;4;4;4;2;2;SI;6
m;57;5;NO;2;2;2;5;5;5;4;3;SI;8
h;61;2;NO;4;4;3;3;3;3;3;2;NO;6
h;69;2;NO;4;4;4;4;4;4;5;4;SI;8
h;34;3;NO;3;3;2;2;2;3;2;1;NO;4
h;61;2;NO;2;4;3;3;3;3;3;2;NO;6
h;69;2;NO;4;4;4;4;4;4;5;4;SI;8
h;34;3;NO;3;3;2;2;2;3;2;1;NO;4
h;68;23;SI;2;5;5;4;5;4;2;2;SI;7
h;80;30;SI;1;5;4;1;2;2;5;4;SI;6
m;45;3;NO;3;2;2;2;3;4;4;4;NO;6
m;44;4;NO;2;2;2;2;2;2;2;2;NO;4
m;40;5;SI;1;4;5;5;5;5;5;4;SI;10
m;77;5;NO;1;3;3;3;4;4;3;2;SI;7
m;27;2;NO;4;3;3;3;3;3;4;3;SI;6
m;35;8;SI;2;5;4;1;1;2;5;4;SI;5
m;64;21;SI;1;5;4;1;2;2;1;2;SI;5
m;25;2;NO;3;3;4;4;5;5;3;4;SI;7
m;66;4;SI;4;2;2;4;4;4;2;2;SI;6
m;57;5;NO;2;2;2;5;5;5;4;3;NO;8
h;71;2;NO;4;4;3;3;3;3;3;2;NO;6
h;69;2;SI;4;4;4;4;4;4;5;4;SI;8
h;22;3;NO;3;3;2;2;2;3;2;1;NO;4
h;78;78;SI;2;5;5;5;5;5;2;2;SI;9
h;80;4;NO;2;2;3;3;4;4;5;4;SI;8
h;36;3;NO;2;2;2;4;4;4;2;2;NO;7
h;47;6;SI;1;4;3;3;3;3;4;4;SI;6
h;46;8;SI;1;5;5;2;2;2;3;3;SI;5
h;61;2;NO;4;4;3;3;3;3;3;2;NO;5
h;69;2;NO;4;4;4;4;4;4;5;4;NO;8
h;34;3;NO;3;3;2;2;3;3;2;1;NO;4
h;58;34;SI;1;5;5;5;4;5;2;2;SI;9
h;80;45;SI;1;5;4;1;2;2;5;4;SI;6
m;45;3;NO;2;2;2;2;3;4;4;4;NO;6
m;44;4;NO;3;2;2;2;2;2;2;2;NO;3
h;61;2;NO;4;4;3;3;3;3;3;2;NO;6
h;69;2;NO;4;4;4;4;4;4;5;4;NO;8
h;75;3;NO;3;3;2;2;2;3;2;1;NO;4
h;68;34;SI;1;5;5;5;5;5;2;2;SI;9
h;73;45;SI;1;5;4;1;2;2;5;4;SI;6
m;45;3;NO;3;2;2;2;3;4;4;4;NO;6
m;44;4;NO;2;2;2;2;2;2;2;2;NO;4
m;40;5;SI;1;4;5;5;5;5;5;4;SI;9
m;77;6;NO;1;3;3;3;4;4;3;2;SI;7
m;29;3;NO;4;3;3;3;3;3;4;3;SI;6
m;76;9;SI;2;5;4;1;1;2;5;4;SI;5
m;66;31;SI;1;5;4;1;2;2;1;2;SI;6
m;45;2;NO;3;3;4;4;5;4;3;4;SI;8
m;47;4;NO;4;2;2;4;4;4;2;2;SI;6
h;69;2;NO;4;4;4;4;4;4;5;4;NO;8
h;34;3;NO;3;3;2;2;2;3;2;1;NO;4
h;58;21;SI;1;5;5;5;5;5;2;2;SI;9
h;80;24;SI;1;5;4;1;2;2;5;4;SI;6
m;45;3;NO;3;2;2;2;3;4;4;4;NO;6
m;44;3;NO;2;2;2;2;3;2;2;3;NO;4
m;40;4;SI;2;4;5;5;5;5;5;4;SI;9
m;77;4;NO;1;3;3;3;4;4;3;3;SI;7
h;34;4;NO;3;3;2;2;2;3;2;2;NO;4
h;78;33;SI;1;5;5;4;5;5;2;1;SI;8
h;84;40;SI;1;5;4;1;2;2;5;4;SI;6
m;45;2;NO;3;2;2;2;3;4;4;3;NO;6
m;44;3;NO;2;2;2;2;2;2;2;2;NO;4
m;40;4;SI;2;4;5;4;5;4;5;4;SI;9
m;28;3;NO;3;1;2;2;4;3;4;4;NO;6
