nombre;club;val;porc_t2;porc_t3;porc_t1;rebotes;asist;bal_rec;bal_per;tap_fav;tap_con;faltas_fav;faltas_cont
Tomic_Ante;FC.Barcelona;213;64.38;0;69.23;7.05;1.55;0.65;1.45;0.6;0.2;2.5;3.35
Navarro_Juan Carlos;FC.Barcelona;145;48.57;34.83;80.95;2.39;2.44;0.78;1.22;0;0.17;1.33;3.33
Huertas_Marcelinho;FC.Barcelona;249;54.22;27.66;100;1.79;4.79;0.63;1.79;0.05;0.16;0.84;1.53
Lorbek_Erazem;FC.Barcelona;117;56;45.83;80;2.82;1.09;0.55;0.55;0.09;0.18;1.82;1.82
Dorsey_Joey;FC.Barcelona;144;74.58;0;29.73;5.45;0.5;1.1;1.2;1.3;0.15;2.75;2
Abrines_Alex;FC.Barcelona;191;52.5;46.3;86.66;1.61;0.83;0.72;0.56;0.39;0.11;1.83;1.67
Papanikolau_Kostas;FC.Barcelona;138;50;38.3;89.99;3.83;1.33;0.72;1.44;0.22;0.39;2.06;1.33
Lampe_Maciej;FC.Barcelona;87;47.76;31.58;65;2.93;1.07;0;0.8;0.6;0.07;1.27;1.73
Oleson_Brad;FC.Barcelona;182;55.55;39.47;90;1.09;1.45;0.55;0.73;0.09;0;1;1.09
Nachbar_Bostjan;FC.Barcelona;127;53.62;27.78;80;2.47;0.63;0.63;1.16;0.05;0.21;3.11;1.58
Sada_Victor;FC.Barcelona;61;37.93;0;84.61;2.05;1.95;0.47;1;0;0.05;0.63;1.16
Todorovic_Marko;FC.Barcelona;112;60;0;64.7;2.53;0.53;0.4;0.67;0.47;0;1.4;0.93
Hezonja_Mario;FC.Barcelona;127;47.83;33.33;80.01;1.83;0.75;0.5;0.75;0.25;0;0.92;0.75
Pullen_Jacob;FC.Barcelona;122;57.14;35.56;69.57;0.5;1.05;0.5;1;0.05;0.2;1.05;1.25
Mirotic_Nikola;R.Madrid;291;61.6;33.33;77.11;6.32;1.32;1.05;1.16;0.37;0.21;1.63;3.42
Fernandez_Rudy;R.Madrid;344;60;35.23;84.75;3.17;2.61;2.11;1.06;0.28;0.11;1.61;3.78
Rodriguez_Sergio;R.Madrid;265;57.8;40.79;84.85;1.85;5.7;1.6;2.3;0.1;0.15;1.6;2.2
Llull_Sergio;R.Madrid;337;51.72;49.48;88.89;2;3.25;1.2;1.3;0.1;0.05;1.05;2.2
Reyes_Felipe;R.Madrid;255;52.13;38.47;77.78;4.53;0.79;1.05;1.47;0.26;0.16;1.74;3.32
Bourousis_Ioannis;R.Madrid;196;57.97;29.17;81.82;4.11;0.56;0.44;0.78;0.39;0.17;2.22;1.89
Carroll_Jaycee;R.Madrid;190;53.57;40.98;80;2.27;0.4;0.47;0.87;0;0.2;1.47;1.33
Mejri_Salah;R.Madrid;135;56.52;24.99;60;4;0.42;0.47;0.63;0.79;0.26;1.84;1.11
Darden_Tremmell;R.Madrid;178;51.16;42.42;93.75;2.25;0.9;0.3;0.35;0.6;0;1.2;0.75
Slaughter_Marcus;R.Madrid;167;56.1;0;42.11;3.15;0.75;0.75;0.6;0.45;0.05;2;1.25
Diez_Daniel;R.Madrid;102;52.38;27.59;83.34;1.23;0.54;0.46;0.15;0.08;0.15;0.46;0.62
Draper_Dontaye;R.Madrid;140;50;27.78;71.44;0.89;1.68;0.79;0.74;0.05;0.05;2.05;0.74
